Temperature,Concentration,Yield,priority
140.0,0.1,10,1.0
20.0,2.0,80,1.0
0.0,0.2,71,1.0
140.0,1.6,PENDING,0.0
140.0,1.5,PENDING,0.0
140.0,1.2,PENDING,0.0
140.0,1.0,PENDING,0.0
140.0,0.2,PENDING,0.0
120.0,2.0,PENDING,0.0
120.0,1.6,PENDING,0.0
120.0,1.5,PENDING,0.0
120.0,1.2,PENDING,0.0
120.0,1.0,PENDING,0.0
120.0,0.1,PENDING,0.0
100.0,2.0,PENDING,0.0
100.0,1.6,PENDING,0.0
100.0,1.5,PENDING,0.0
100.0,1.2,PENDING,0.0
100.0,1.0,PENDING,0.0
100.0,0.2,PENDING,0.0
100.0,0.1,PENDING,0.0
80.0,2.0,PENDING,0.0
80.0,1.6,PENDING,0.0
80.0,1.5,PENDING,0.0
80.0,1.0,PENDING,0.0
80.0,0.2,PENDING,0.0
80.0,0.1,PENDING,0.0
40.0,2.0,PENDING,0.0
40.0,1.6,PENDING,0.0
40.0,1.5,PENDING,0.0
40.0,1.2,PENDING,0.0
40.0,1.0,PENDING,0.0
40.0,0.2,PENDING,0.0
40.0,0.1,PENDING,0.0
20.0,1.6,PENDING,0.0
20.0,1.2,PENDING,0.0
20.0,1.0,PENDING,0.0
20.0,0.2,PENDING,0.0
20.0,0.1,PENDING,0.0
0.0,1.6,PENDING,0.0
0.0,1.5,PENDING,0.0
0.0,1.2,PENDING,0.0
0.0,1.0,PENDING,0.0
140.0,2.0,0.6,-1.0
120.0,0.2,41,-1.0
80.0,1.2,89,-1.0
20.0,1.5,80,-1.0
0.0,2.0,69,-1.0
0.0,0.1,40,-1.0
